wals code,name,latitude,longitude,genus,family,subfamily,iso codes
chs,Chin (Siyin),23.8333333333,94.0,Kuki-Chin,Sino-Tibetan,Tibeto-Burman,csy
cht,Chatino (Nopala),16.0833333333,-97.1666666667,Zapotecan,Oto-Manguean,,cya
chu,Chulupí,-23.5,-60.5,Matacoan,Matacoan,,cag
chv,Chuvash,55.5,47.5,Turkic,Altaic,,chv
chw,Cham (Western),12.0,105.5,Malayic,Austronesian,,cja
chx,Chontal (Huamelultec Oaxaca),16.0,-95.75,Tequistlatecan,Tequistlatecan,,clo
chy,Chayahuita,-5.5,-77.0,Cahuapanan,Cahuapanan,,cbt
chz,Chaozhou,23.6666666667,116.666666667,Chinese,Sino-Tibetan,,nan
cic,Chichewa,-14.0,34.0,Bantoid,Niger-Congo,Benue-Congo,nya
cil,CiLuba,-6.0,22.0,Bantoid,Niger-Congo,Benue-Congo,lua
cin,Chumash (Ineseño),34.6666666667,-120.25,Chumash,Chumash,,inz
cjo,Chichimeca-Jonaz,21.6666666667,-100.5,Chichimec,Oto-Manguean,,pei
ckh,Cheke Holo,-8.33333333333,159.666666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,mrn
ckl,Chinook (Lower),46.25,-123.5,Chinookan,Penutian,,chh
ckr,Canela-Krahô,-6.0,-46.0,Ge-Kaingang,Macro-Ge,,xra ram
cku,Chinook (Upper),45.5,-122.5,Chinookan,Penutian,,wac
cla,Clallam,48.0833333333,-123.75,Central Salish,Salishan,,clm
clc,Colac,-38.3333333333,143.5,Pama-Nyungan,Australian,,
cld,Chaldean (Modern),36.0,43.0,Semitic,Afro-Asiatic,,cld
cle,Chinantec (Lealao),17.3333333333,-95.9166666667,Chinantecan,Oto-Manguean,,cle
cln,Cholón,-8.0,-77.5,Cholon,Cholon,,clh cht
cly,Chulym,54.3333333333,89.6666666667,Turkic,Altaic,,clw
cma,Chimila,10.0,-74.0,Chimila,Chibchan,,cbg
cmc,Comecrudo,25.8333333333,-99.0,Comecrudan,Comecrudan,,xcm
cme,Cham (Eastern),11.3333333333,108.5,Malayic,Austronesian,,cjm
cmh,Chemehuevi,34.3333333333,-115.166666667,Numic,Uto-Aztecan,,ute
cmk,Chemakum,48.0833333333,-122.916666667,Chimakuan,Chimakuan,,xch
cml,Camling,27.0,86.6666666667,Bodic,Sino-Tibetan,Tibeto-Burman,rab
cmn,Comanche,33.5,-101.5,Numic,Uto-Aztecan,,com
cmr,Chin (Mara),23.0,93.1666666667,Kuki-Chin,Sino-Tibetan,Tibeto-Burman,mrh
cmx,Comox,50.1666666667,-125.0,Central Salish,Salishan,,coo
cmy,Chontal Maya,18.1666666667,-92.5833333333,Mayan,Mayan,,chf
cnl,Canela,-7.0,-45.0,Ge-Kaingang,Macro-Ge,,ram
cnm,Canamarí,-6.5,-68.5,Katukinan,Katukinan,,knm
cnt,Cantonese,23.0,113.0,Chinese,Sino-Tibetan,,yue
coa,Coahuilteco,28.0,-100.0,Coahuiltecan,Coahuiltecan,,xcw
coc,Cocama,-5.0,-74.5,Tupi-Guaraní,Tupian,,cod
coe,Coeur d'Alene,47.25,-116.5,Interior Salish,Salishan,,crd
cof,Cofán,0.166666666667,-77.1666666667,Cofán,Cofán,,con
cog,Cogui,11.0,-73.8333333333,Aruak,Chibchan,,kog
coi,Chortí,14.8333333333,-89.25,Mayan,Mayan,,caa
col,Chol,17.75,-92.5,Mayan,Mayan,,ctu cti
com,Comorian,-12.0,44.0,Bantoid,Niger-Congo,Benue-Congo,swb
coo,Coos (Hanis),43.5,-124.166666667,Coosan,Oregon Coast,,csz
cop,Coptic,26.0,32.0,Egyptian-Coptic,Afro-Asiatic,,cop
cor,Cora,22.1666666667,-104.833333333,Corachol,Uto-Aztecan,,crn
cos,Costanoan,37.0,-122.0,Costanoan,Penutian,Utian,cst css
cpa,Campa Pajonal Asheninca,-10.6666666667,-74.25,Arawakan,Arawakan,,cjo
cpl,Chinantec (Palantla),18.8333333333,-96.75,Chinantecan,Oto-Manguean,,cpa
cpn,Chepang,27.6666666667,84.75,Bodic,Sino-Tibetan,Tibeto-Burman,cdm
cpw,Chippewa (Red Lake and Pillager),48.0,-95.0,Algonquian,Algic,,ciw
cpy,Chipaya,-18.75,-67.8333333333,Uru-Chipaya,Uru-Chipaya,,cap
cqt,Chiquitano,-17.5,-60.0,Chiquito,Chiquito,,cax
cre,Cree (Plains),54.0,-110.0,Algonquian,Algic,,crk
crg,Chiriguano,-23.6666666667,-64.3333333333,Tupi-Guaraní,Tupian,,gui
crh,Chru,11.5,108.5,Malayic,Austronesian,,cje
cri,Crimean Tatar,45.0,34.0833333333,Turkic,Altaic,,crh
crj,Carijona,1.0,-73.0,Cariban,Cariban,,cbd
crk,Creek,34.0,-85.0,Muskogean,Muskogean,,mus
crl,Carolinian,15.2,145.75,Oceanic,Austronesian,Eastern Malayo-Polynesian,cal
crn,Cornish,50.3333333333,-5.0,Celtic,Indo-European,,cor
cro,Crow,47.0,-108.0,Siouan,Siouan,,cro
crp,Carapana,0.833333333333,-70.75,Tucanoan,Tucanoan,,cbc
crq,Carrier,53.75,-123.5,Athapaskan,Na-Dene,,crx
crt,Chorote,-22.5,-62.5,Matacoan,Matacoan,,crt crq
csc,Chinantec (Sochiapan),17.75,-96.6666666667,Chinantecan,Oto-Manguean,,cso
csf,Chinantec (San Felipe Usila),17.9166666667,-96.5,Chinantecan,Oto-Manguean,,cuc
csh,Cashinahua,-10.5,-71.8333333333,Panoan,Panoan,,cbs
csk,Diola-Kasa,12.5,-16.75,Northern Atlantic,Niger-Congo,Atlantic,csk
csl,Chinese Sign Language,35.0,115.0,Sign Languages,other,,csl
cso,Chatino (Sierra Occidental),16.25,-97.3333333333,Zapotecan,Oto-Manguean,,ctp
ctc,Cuicatec,17.8333333333,-96.8333333333,Mixtecan,Oto-Manguean,,cux cut
cte,Chinantec (Tepetotutla),17.8333333333,-96.5,Chinantecan,Oto-Manguean,,cnt
cti,Chin (Tiddim),23.3333333333,93.6666666667,Kuki-Chin,Sino-Tibetan,Tibeto-Burman,ctd
ctl,Catalan,41.75,2.0,Romance,Indo-European,,cat
ctm,Chitimacha,29.6666666667,-91.0,Chitimacha,Chitimacha,,ctm
ctt,Chatino (Tataltepec),16.1666666667,-97.5833333333,Zapotecan,Oto-Manguean,,cta
ctw,Catawba,35.5,-80.5,Siouan,Siouan,,chc
cua,Cua,15.25,108.5,Bahnaric,Austro-Asiatic,Mon-Khmer,cua
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,,cub
cuc,Cuica,9.0,-70.5,Timote-Cuica,Timote-Cuica,,
cui,Cuiba,6.5,-70.0,Guahiban,Guahiban,,cui
cul,Culina,-6.0,-70.5,Arauan,Arauan,,cul
cum,Chumburung,7.75,0.25,Kwa,Niger-Congo,,ncu
cup,Cupeño,33.1666666667,-116.5,Takic,Uto-Aztecan,,cup
cur,Curripaco,2.5,-68.5,Arawakan,Arawakan,,kpc
cut,Cuitlatec,17.5,-101.0,Cuitlatec,Cuitlatec,,
cuu,Chuukese,7.33333333333,151.75,Oceanic,Austronesian,Eastern Malayo-Polynesian,chk
cvc,Chavacano,7.0,122.083333333,Creoles and Pidgins,other,,cbk
cve,Chuave,-6.11666666667,145.116666667,Chimbu,Trans-New Guinea,,cjv
cwe,Columbia-Wenatchi,47.5,-120.0,Interior Salish,Salishan,,col
cya,Chatino (Yaitepec),16.25,-97.25,Zapotecan,Oto-Manguean,,ctp
cyg,Cayuga,42.75,-76.75,Northern Iroquoian,Iroquoian,,cay
cyn,Cheyenne,47.0,-95.0,Algonquian,Algic,,chy
cyv,Cayuvava,-13.5,-65.5,Cayuvava,Cayuvava,,cyb
cze,Czech,50.0,15.0,Slavic,Indo-European,,ces
daa,Da'a,-1.0,119.583333333,Sulawesi,Austronesian,,kzf
dab,Daba,10.1666666667,13.75,Biu-Mandara,Afro-Asiatic,Chadic,dkx dbq
dad,Dadibi,-6.55,144.583333333,Teberan,Teberan-Pawaian,,mps
dag,Daga,-10.0,149.333333333,Dagan,Dagan,,dgz
dah,Dahalo,-2.33333333333,40.5,Southern Cushitic,Afro-Asiatic,Cushitic,dal
dak,Dakota,45.0,-93.5,Siouan,Siouan,,dak
dam,Damana,11.0,-73.5,Aruak,Chibchan,,mbp
dan,Dan,7.5,-8.0,Eastern Mande,Niger-Congo,Mande,daf
dar,Darai,24.0,84.0,Indic,Indo-European,,dry
dat,Datooga,-4.33333333333,35.3333333333,Nilotic,Nilo-Saharan,Eastern Sudanic,tcc
daw,Dâw,-0.25,-67.0833333333,Nadahup,Nadahup,,kwa
day,Day,8.75,17.8333333333,Adamawa,Niger-Congo,Adamawa-Ubangi,dai
dbd,Dabida,-4.0,38.6666666667,Bantoid,Niger-Congo,Benue-Congo,dav
dbr,Dutch (Brabantic),50.75,4.5,Germanic,Indo-European,,nld
dbw,Dan (Blowo),7.33333333333,-8.16666666667,Eastern Mande,Niger-Congo,Mande,daf
dca,Dumagat (Casiguran),16.3333333333,122.0,Northern Philippines,Austronesian,,dgc
dda,Dhuwal (Dätiwuy),-12.1666666667,136.25,Pama-Nyungan,Australian,,duj
ddf,Daju (Dar Fur),12.25,25.25,Daju,Nilo-Saharan,Eastern Sudanic,daj
ddj,Dadjriwalé,5.25,-5.66666666667,Kru,Niger-Congo,,god
dds,Donno So,14.3333333333,-3.58333333333,Dogon,Niger-Congo,,dds
def,Defaka,4.58333333333,7.5,Ijoid,Niger-Congo,,afn
deg,Degema,4.75,6.75,Edoid,Niger-Congo,Benue-Congo,deg
den,Dení,-6.0,-67.0,Arauan,Arauan,,dny
der,Dla (Proper),-3.58333333333,141.0,Senagi,Senagi,,kbv
des,Desano,0.833333333333,-69.8333333333,Tucanoan,Tucanoan,,des
det,Deti,-20.5,24.5,Central Khoisan,Khoisan,,shg
deu,Deuri,26.0,90.25,Bodo-Garo,Sino-Tibetan,Tibeto-Burman,der
dga,Dagaare,10.5,-2.66666666667,Gur,Niger-Congo,,dga
dgb,Dagbani,9.58333333333,-0.5,Gur,Niger-Congo,,dag
dge,Deutsche Gebärdensprache,52.0,11.0,Sign Languages,other,,gsg
dgi,Dogri,33.0,75.0,Indic,Indo-European,,xnr dgo
dgo,Dongo,3.0,30.0,Ubangi,Niger-Congo,Adamawa-Ubangi,doo
dgr,Dagur,48.0,124.0,Mongolic,Altaic,,dta
dgx,Degexit'an,62.0,-160.0,Athapaskan,Na-Dene,,ing
dha,Dhaasanac,4.66666666667,36.3333333333,Eastern Cushitic,Afro-Asiatic,Cushitic,dsh
dhb,Dharumbal,-22.75,150.5,Pama-Nyungan,Australian,,bjy
dhi,Dhivehi,4.16666666667,73.5,Indic,Indo-European,,div
dhl,Dhalandji,-22.08,115.0,Pama-Nyungan,Australian,,dhl
dhm,Dhimal,26.6666666667,87.75,Bodic,Sino-Tibetan,Tibeto-Burman,dhi
dhr,Dhargari,-23.75,114.916666667,Pama-Nyungan,Australian,,dhr
dhu,Dhurga,-35.6666666667,150.0,Pama-Nyungan,Australian,,dhu
dhw,Dharawal,-34.5,150.5,Pama-Nyungan,Australian,,tbh
did,Didinga,4.5,33.5,Surmic,Nilo-Saharan,Eastern Sudanic,did
die,Diegueño (Mesa Grande),32.6666666667,-116.166666667,Yuman,Hokan,,dih
dig,Digaro,28.4166666667,96.0,Digaroan,Sino-Tibetan,Tibeto-Burman,mhu
dim,Dime,6.16666666667,36.25,South Omotic,Afro-Asiatic,Omotic,dim
din,Dinka,8.5,28.0,Nilotic,Nilo-Saharan,Eastern Sudanic,dip
dio,Diola-Fogny,13.0,-16.25,Northern Atlantic,Niger-Congo,Atlantic,dyo
diy,Diyari,-28.0,139.0,Pama-Nyungan,Australian,,dif
diz,Dizi,6.16666666667,36.5,North Omotic,Afro-Asiatic,Omotic,mdx
dja,Djabugay,-16.75,145.583333333,Pama-Nyungan,Australian,,dyy
dji,Djingili,-17.75,134.0,West Barkly,Australian,,jig
djm,Djambarrpuyngu,-12.1666666667,135.5,Pama-Nyungan,Australian,,djr
djn,Djinang,-12.3333333333,134.833333333,Pama-Nyungan,Australian,,dji
djp,Djapu,-12.6666666667,136.0,Pama-Nyungan,Australian,,duj
djr,Djaru,-18.75,128.0,Pama-Nyungan,Australian,,ddj
dli,Dutch (Limburg),51.0,5.5,Germanic,Indo-European,,nld
dlm,Dla (Menggwa),-3.55,141.033333333,Senagi,Senagi,,kbv
dma,Duma,-0.95,13.0,Bantoid,Niger-Congo,Benue-Congo,dma
dmi,Dumi,27.25,86.6666666667,Bodic,Sino-Tibetan,Tibeto-Burman,dus
dmk,Dumaki,36.1666666667,74.0,Indic,Indo-European,,dmk
dms,Dimasa,25.5,93.0,Bodo-Garo,Sino-Tibetan,Tibeto-Burman,dis
dng,Ding,-4.33333333333,19.5,Bantoid,Niger-Congo,Benue-Congo,diz
dni,Dani (Lower Grand Valley),-4.33333333333,138.833333333,Dani,Trans-New Guinea,,dni
dnw,Dangaléat (Western),12.1666666667,18.3333333333,East Chadic,Afro-Asiatic,Chadic,daa
dob,Dobel,-6.25,134.666666667,Central Malayo-Polynesian,Austronesian,,kvo
dok,Doko,3.0,23.0833333333,Bantoid,Niger-Congo,Benue-Congo,ngc
dol,Dolgan,71.25,98.0,Turkic,Altaic,,dlg
dom,Domari,32.0,35.0,Indic,Indo-European,,rmt
don,Dong,27.0,109.0,Kam-Tai,Tai-Kadai,,kmc doc
dou,Doutai,-3.33333333333,138.166666667,Lakes Plain,Lakes Plain,,tds
doy,Doyayo,8.66666666667,13.0833333333,Adamawa,Niger-Congo,Adamawa-Ubangi,dow
dre,Drehu,-21.0,167.25,Oceanic,Austronesian,Eastern Malayo-Polynesian,dhv
drg,Dargwa,42.25,47.4166666667,Lak-Dargwa,Nakh-Daghestanian,Daghestanian,dar
dri,Dari,35.0,66.0,Iranian,Indo-European,,prs
drm,Darma,30.0,79.75,Bodic,Sino-Tibetan,Tibeto-Burman,drd
dsh,Danish,56.0,10.0,Germanic,Indo-European,,dan
dts,Toro So,14.4166666667,-3.25,Dogon,Niger-Congo,,dts
dua,Duala,4.0,9.41666666667,Bantoid,Niger-Congo,Benue-Congo,dua
dug,Dullay (Gollango),5.5,37.25,Eastern Cushitic,Afro-Asiatic,Cushitic,gwd
duk,Duka,11.1666666667,5.08333333333,Kainji,Niger-Congo,Benue-Congo,dud
dul,Dulong,28.0,98.3333333333,Nungish,Sino-Tibetan,Tibeto-Burman,duu
dum,Dumo,-2.68333333333,141.3,Western Skou,Skou,,vam
dun,Duna,-5.5,142.5,Duna,Trans-New Guinea,,duc
dut,Dutch,52.5,6.0,Germanic,Indo-European,,nld
duz,Dutch (Zeeuws),51.5,3.75,Germanic,Indo-European,,zea
dyi,Dyirbal,-17.8333333333,145.583333333,Pama-Nyungan,Australian,,dbl
dym,Dyimini,8.41666666667,-4.41666666667,Gur,Niger-Congo,,dyi
dyu,Dyula,9.83333333333,-4.66666666667,Western Mande,Niger-Congo,Mande,dyu
ebi,Ebira,8.16666666667,7.0,Nupoid,Niger-Congo,Benue-Congo,igb
edo,Edolo,-6.16666666667,142.666666667,Bosavi,Bosavi,,etr
efi,Efik,4.91666666667,8.5,Cross River,Niger-Congo,Benue-Congo,efi
ega,Ega,5.5,-5.5,Kwa,Niger-Congo,,ega
egn,Engenni,5.16666666667,6.38333333333,Edoid,Niger-Congo,Benue-Congo,enn
eip,Eipo,-4.33333333333,140.083333333,Mek,Trans-New Guinea,,eip
eja,Ejagham,5.41666666667,8.66666666667,Bantoid,Niger-Congo,Benue-Congo,etu
eka,Ekari,-3.83333333333,135.5,Wissel Lakes-Kemandoga,Trans-New Guinea,,ekg
eko,Ekoti,-16.5,39.5,Bantoid,Niger-Congo,Benue-Congo,eko
els,Elseng,-3.0,140.5,Morwap,Morwap,,mrf
emb,Embera,6.83333333333,-77.1666666667,Choco,Choco,,emp
emc,Embera Chami,5.0,-76.0,Choco,Choco,,cmi
eme,Émérillon,3.16666666667,-52.4166666667,Tupi-Guaraní,Tupian,,eme
eml,Embaloh,1.16666666667,112.333333333,Sulawesi,Austronesian,,emb
emm,Emmi,-13.5,130.0,Western Daly,Australian,Daly,amy
ena,Enga,-5.5,143.666666667,Engan,Trans-New Guinea,,enq
ene,Enets,67.5,86.5,Samoyedic,Uralic,,enh enf
eng,English,52.0,0.0,Germanic,Indo-European,,eng
eno,Enggano,-5.41666666667,102.25,Sumatra,Austronesian,,eno
eny,Enya,-0.5,25.25,Bantoid,Niger-Congo,Benue-Congo,gey
epe,Epena Pedee,3.0,-77.0,Choco,Choco,,sja
erk,Efate (South),-17.75,168.416666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,erk
err,Erromangan,-18.8333333333,169.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,erg
ese,Ese Ejja,-11.0,-66.0,Tacanan,Tacanan,,ese
esm,Esmeraldeño,0.333333333333,-79.8333333333,Tacame,Tacame,,
ess,Esselen,36.25,-121.75,Esselen,Esselen,,esq
est,Estonian,59.0,26.0,Finnic,Uralic,Finno-Ugric,est
ets,Etsako,7.25,6.5,Edoid,Niger-Congo,Benue-Congo,ets
eud,Eudeve,29.1666666667,-109.666666667,Cahita,Uto-Aztecan,,opt
eve,Evenki,56.0,125.0,Tungusic,Altaic,,evn
evn,Even,68.0,130.0,Tungusic,Altaic,,eve
ewa,Ewe (Anglo),6.0,1.0,Kwa,Niger-Congo,,ewe
ewe,Ewe,6.33333333333,0.416666666667,Kwa,Niger-Congo,,ewe
ewo,Ewondo,4.0,12.0,Bantoid,Niger-Congo,Benue-Congo,ewo
eya,Eyak,60.5,-145.0,Eyak,Na-Dene,,eya
far,Faroese,62.0,-7.0,Germanic,Indo-European,,fao
fas,Fasu,-6.58333333333,143.333333333,Fasu,Trans-New Guinea,,faa
fbf,Fula (Burkina Faso),14.0,0.0,Northern Atlantic,Niger-Congo,Atlantic,fuh
fea,Frisian (Eastern),53.5833333333,7.5,Germanic,Indo-European,,frs
fef,Fe'fe',5.25,10.1666666667,Bantoid,Niger-Congo,Benue-Congo,fmp
fgo,Fulani (Gombe),10.25,11.25,Northern Atlantic,Niger-Congo,Atlantic,fub
fgu,Fula (Guinean),11.5,-12.5,Northern Atlantic,Niger-Congo,Atlantic,fuf
fij,Fijian,-17.8333333333,178.0,Oceanic,Austronesian,Eastern Malayo-Polynesian,fij
fin,Finnish,62.0,25.0,Finnic,Uralic,Finno-Ugric,fin
fio,Fiote,-5.5,14.0,Bantoid,Niger-Congo,Benue-Congo,kng
fiw,Fijian (Wayan),-17.0,177.3,Oceanic,Austronesian,Eastern Malayo-Polynesian,wyy
fli,Ful (Liptako),13.5,0.5,Northern Atlantic,Niger-Congo,Atlantic,fuh
fma,Fula (Mauritanian),16.5,-13.75,Northern Atlantic,Niger-Congo,Atlantic,fuc
fni,Fula (Nigerian),8.16666666667,10.5,Northern Atlantic,Niger-Congo,Atlantic,fuv
fno,Frisian (North),54.5,9.0,Germanic,Indo-European,,frr
foe,Foe,-6.5,143.5,Kutubuan,Trans-New Guinea,,foi
fon,Fongbe,6.41666666667,2.16666666667,Kwa,Niger-Congo,,fon
for,Fore,-6.75,145.5,Eastern Highlands,Trans-New Guinea,,for
fox,Fox,43.0,-83.0,Algonquian,Algic,,sac
fqs,Momu,-3.0,141.583333333,Fas,Kwomtari-Baibai,,fqs
frd,Fordata,-6.75,131.5,Central Malayo-Polynesian,Austronesian,,frd
fre,French,48.0,2.0,Romance,Indo-European,,fra
fri,Frisian,53.0,5.0,Germanic,Indo-European,,frs
frw,Frisian (Western),53.0,6.0,Germanic,Indo-European,,fry
fsl,Finnish Sign Language,62.0,26.0,Sign Languages,other,,fse
fua,Fula (Cameroonian),9.16666666667,13.5,Northern Atlantic,Niger-Congo,Atlantic,fub
fue,Futuna (East),-14.3333333333,-178.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,fud
ful,Fulniô,-8.0,-37.5,Yatê,Macro-Ge,,fun
fum,Fulfulde (Maasina),15.0,-5.0,Northern Atlantic,Niger-Congo,Atlantic,ffm
fur,Fur,13.5,25.0,Fur,Nilo-Saharan,,fvr
fus,Fula (Senegal),15.0,-14.0,Northern Atlantic,Niger-Congo,Atlantic,fuc
fut,Futuna-Aniwa,-19.5333333333,170.216666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,fut
fuz,Fuzhou,26.0,119.5,Chinese,Sino-Tibetan,,cdo
fye,Fyem,9.58333333333,9.33333333333,Platoid,Niger-Congo,Benue-Congo,pym
ga,Gã,5.66666666667,-0.166666666667,Kwa,Niger-Congo,,gaa
gaa,Gaagudju,-12.5833333333,132.833333333,Gaagudju,Australian,,gbu
gad,Gade,8.66666666667,7.41666666667,Nupoid,Niger-Congo,Benue-Congo,ged
gae,Gaelic (Scots),57.0,-4.0,Celtic,Indo-European,,gla
gag,Gagauz,46.3333333333,28.6666666667,Turkic,Altaic,,gag
gah,Gahuku,-6.0,145.416666667,Eastern Highlands,Trans-New Guinea,,gah
gal,Gallong,28.1666666667,94.6666666667,Tani,Sino-Tibetan,Tibeto-Burman,adi
gam,Gamo,6.66666666667,37.25,North Omotic,Afro-Asiatic,Omotic,gmo
gan,Great Andamanese,12.0,92.6666666667,Great Andamanese,Great Andamanese,,apq
gap,Gapapaiwa,-9.75,149.833333333,Oceanic,Austronesian,Eastern Malayo-Polynesian,pwg
gar,Garo,25.6666666667,90.5,Bodo-Garo,Sino-Tibetan,Tibeto-Burman,grt
gau,German (Upper Austrian),47.0,14.0,Germanic,Indo-European,,bar
gav,Gavião,-10.6666666667,-62.0,Monde,Tupian,,gvo
gay,Gayo,4.5,97.5,Gayo,Austronesian,,gay
gba,German (Bavarian),49.0,11.5,Germanic,Indo-European,,bar
gbb,Gbeya Bossangoa,6.66666666667,17.5,Ubangi,Niger-Congo,Adamawa-Ubangi,gbp
gbc,Guinea Bissau Crioulo,12.0,-15.0,Creoles and Pidgins,other,,pov
gbe,German (Bern),47.0,7.41666666667,Germanic,Indo-European,,gsw
gbk,Gbaya Kara,6.0,15.0,Ubangi,Niger-Congo,Adamawa-Ubangi,gya
gbl,German (Berlin),52.5,13.3333333333,Germanic,Indo-European,,deu
gcy,Greek (Cypriot),34.75,33.0,Greek,Indo-European,,ell
gdb,Gutob,19.0,83.6666666667,Munda,Austro-Asiatic,,gbj
gdf,Guduf,11.2333333333,13.8,Biu-Mandara,Afro-Asiatic,Chadic,gdf
gdi,Godié,5.41666666667,-5.83333333333,Kru,Niger-Congo,,god
gdk,Gadaba (Kondekor),18.75,83.5,Central Dravidian,Dravidian,,gdb
gdl,Guadeloupe Creole,16.25,-61.5,Creoles and Pidgins,other,,gcf
gdr,Gidar,10.0,14.0,Biu-Mandara,Afro-Asiatic,Chadic,gid
gds,Gadsup,-6.25,146.0,Eastern Highlands,Trans-New Guinea,,gaj
gel,Gela,-9.08333333333,160.25,Oceanic,Austronesian,Eastern Malayo-Polynesian,nlg
geo,Georgian,42.0,44.0,Kartvelian,Kartvelian,,kat
ger,German,52.0,10.0,Germanic,Indo-European,,deu
gfr,Guianese French Creole,5.0,-53.0,Creoles and Pidgins,other,,gcr
ggd,Gugadj,-18.5,140.5,Pama-Nyungan,Australian,,ggd
ggu,Gureng Gureng,-25.25,151.0,Pama-Nyungan,Australian,,gnr
gha,German (Hannover),52.4166666667,9.66666666667,Germanic,Indo-European,,deu
ghb,Guahibo,5.0,-69.0,Guahiban,Guahiban,,guh
gho,Ghotuo,7.08333333333,5.75,Edoid,Niger-Congo,Benue-Congo,aaa
ghr,Gahri,32.5,77.0,Bodic,Sino-Tibetan,Tibeto-Burman,bfu
gid,Gidabal,-28.4166666667,152.416666667,Pama-Nyungan,Australian,,bdy
gil,Gilaki,37.3333333333,50.0,Iranian,Indo-European,,glk
gim,Gimira,7.0,35.75,North Omotic,Afro-Asiatic,Omotic,bcq
gir,Gula Iro,10.25,19.4166666667,Adamawa,Niger-Congo,Adamawa-Ubangi,glj
git,Gitksan,55.3333333333,-127.75,Tsimshianic,Penutian,,git
giz,Giziga,10.3333333333,14.1666666667,Biu-Mandara,Afro-Asiatic,Chadic,giz gis
gji,Gurindji,-17.6666666667,130.666666667,Pama-Nyungan,Australian,,gue
gjj,Guajajara,-5.0,-46.0,Tupi-Guaraní,Tupian,,gub
gku,Gününa Küne,-41.0,-67.0,Puelche,Chon,,pue
gla,Gelao,22.9166666667,105.5,Kadai,Tai-Kadai,,gio
glc,Galician,43.0,-8.0,Romance,Indo-European,,glg
gll,Galela,2.41666666667,128.333333333,North Halmaheran,West Papuan,,gbi
gln,Golin,-6.33333333333,144.75,Chimbu,Trans-New Guinea,,gvf
glp,Gaalpu,-12.6666666667,136.75,Pama-Nyungan,Australian,,dhg
gma,German (Mansfeldisch),51.5833333333,11.5,Germanic,Indo-European,,deu
gmb,Guambiano,2.5,-76.6666666667,Barbacoan,Barbacoan,,gum
gml,Gamilaraay,-29.8333333333,149.5,Pama-Nyungan,Australian,,kld
gmt,Gumatj,-12.5,135.5,Pama-Nyungan,Australian,,gnn
gmw,Gumawana,-9.25,150.833333333,Oceanic,Austronesian,Eastern Malayo-Polynesian,gvs
gmz,Gumuz,12.5,35.8333333333,Gumuz,Nilo-Saharan,,guk
gna,Guana,-22.0,-58.0,Mascoian,Mascoian,,gva
gnb,Gunbalang,-12.0,134.0,Gunwinygic,Australian,Gunwinyguan,wlg
gnd,Ga'anda,10.3333333333,12.5833333333,Biu-Mandara,Afro-Asiatic,Chadic,gqa
gnn,Gunin,-14.25,126.666666667,Wororan,Australian,,gww
gno,Guanano,0.833333333333,-69.5,Tucanoan,Tucanoan,,gvc
gny,Gunya,-26.5,146.5,Pama-Nyungan,Australian,,gyy
goa,Goajiro,12.0,-72.0,Arawakan,Arawakan,,guc
god,Godoberi,42.6666666667,46.0833333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian,gdo
goe,Goemai,8.66666666667,9.75,West Chadic,Afro-Asiatic,Chadic,ank
gog,Gogodala,-8.08333333333,142.833333333,Gogodala,Gogodala-Suki,,ggw
goj,Gojri,32.75,76.25,Indic,Indo-European,,gju
gok,Gokana,4.58333333333,7.33333333333,Cross River,Niger-Congo,Benue-Congo,gkn
gol,Gola,7.25,-10.8333333333,Southern Atlantic,Niger-Congo,Atlantic,gol
gon,Gondi,19.0,81.0,South-Central Dravidian,Dravidian,,gno ggo
goo,Gooniyandi,-18.3333333333,126.333333333,Bunuban,Australian,,gni
gor,Gorowa,-4.5,36.5,Southern Cushitic,Afro-Asiatic,Cushitic,gow
gos,German (Ostschweiz),47.4166666667,9.25,Germanic,Indo-European,,gsw
gpz,German (Appenzell),47.3333333333,9.33333333333,Germanic,Indo-European,,gsw
grb,Grebo,5.0,-8.0,Kru,Niger-Congo,,gry
gre,Greenlandic (East),65.0,-40.0,Eskimo,Eskimo-Aleut,,kal
grf,Garífuna,15.6666666667,-88.0,Arawakan,Arawakan,,cab
grg,Gurr-goni,-12.25,134.416666667,Burarran,Australian,,gge
grj,Guarijío,27.75,-108.666666667,Tarahumaran,Uto-Aztecan,,var
grk,Greek (Modern),39.0,22.0,Greek,Indo-European,,ell
grm,Gurma,12.25,1.0,Gur,Niger-Congo,,gux
grn,Gurenne,10.8333333333,-0.916666666667,Gur,Niger-Congo,,gur
gro,Guro,7.0,-6.0,Eastern Mande,Niger-Congo,Mande,goa
grp,German (Ripuarian),51.0,7.0,Germanic,Indo-European,,ksh
grr,Garrwa,-17.0833333333,137.166666667,Garrwan,Australian,,gbc
grs,Garus,-4.95,145.666666667,Madang,Trans-New Guinea,,gyb
grt,Gorontalo,0.5,122.0,Sulawesi,Austronesian,,gor
grw,Greenlandic (West),64.0,-51.0,Eskimo,Eskimo-Aleut,,kal
